,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Kältebus München,Kältebus München,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Wiesbaden,Wiesbaden,LOC,-0.36842105,0.00000000,de,1.90000000,4066043-6,2809346,P,50.08601000,8.24435000,EUROPE,Germany,WCE
Land…,Land…,LOC,-0.36842105,0.00000000,de,1.90000000,,0,,,,,,
Winterspaziergängen,Winterspaziergängen,LOC,-0.73684211,0.00000000,de,1.90000000,,0,,,,,,
Eisblöcke,Eisblöcke,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Niederlanden,Niederlanden,LOC,0.71052632,0.26315789,de,1.90000000,,0,,,,,,
Sonntagnachmittag,Sonntagnachmittag,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Glatteis am Morgen,Glatteis am Morgen,LOC,0.00000000,0.52631579,de,1.90000000,,0,,,,,,
Bauhof,Bauhof,LOC,-0.36842105,0.00000000,de,1.90000000,,2956293,P,53.69669000,11.10858000,EUROPE,Germany,NEU
Achtung Glätte,Achtung Glätte,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Glatteis-Sturz am Bahnübergang,Glatteis-Sturz am Bahnübergang,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
NRW-Straßen,NRW-Straßen,LOC,0.00000000,0.70175439,de,1.90000000,,2826162,P,50.98083000,7.18948000,EUROPE,Germany,WCE
Landkreis Hameln-Pyrmont Mülltonnen,Landkreis Hameln-Pyrmont Mülltonnen,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
lrs,lrs,LOC,-0.42105263,0.00000000,de,1.90000000,,5880061,S,70.13395000,-143.58045000,NORTH-AMERICA,United States,NWN
Moskau,Moskau,LOC,0.00000000,0.00000000,de,1.90000000,4074987-3,524901,P,55.75204000,37.61781000,EUROPE,Russia,WCE
winterlich-kalt,winterlich-kalt,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Niederlande,Niederlande,LOC,1.05263158,0.00000000,de,1.90000000,4042203-3,2750405,A,52.25000000,5.75000000,EUROPE,The Netherlands,NEU
St…,St…,LOC,0.73684211,0.00000000,de,1.90000000,,0,,,,,,
Windbands,Windbands,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Tramuntana-Gebirge,Tramuntana-Gebirge,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Österreichs,Österreichs,LOC,-0.36842105,0.00000000,de,1.90000000,,13513071,S,48.20430000,16.37016000,EUROPE,Austria,WCE
Mainz,Mainz,LOC,0.00000000,0.00000000,de,1.90000000,4037124-4,2874225,P,49.98419000,8.27910000,EUROPE,Germany,WCE
Weihnachtsmarkt-Wetter,Weihnachtsmarkt-Wetter,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Glatteises,Glatteises,LOC,0.00000000,1.05263158,de,1.90000000,,0,,,,,,
Tiefdruckeinfluss,Tiefdruckeinfluss,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Stadt Achim,Stadt Achim,LOC,0.73684211,0.00000000,de,1.90000000,4000368-1,6557456,A,53.01120000,9.03300000,EUROPE,Germany,WCE
Großbritannien,Großbritannien,LOC,0.00000000,0.00000000,de,1.90000000,4022153-2,2635167,A,54.75844000,-2.69531000,EUROPE,United Kingdom,NEU
Terminalbetreiber Eurogate,Terminalbetreiber Eurogate,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Nordseehäfen,Nordseehäfen,LOC,-0.36842105,0.00000000,de,1.90000000,,0,,,,,,
der Schweiz,der Schweiz,LOC,0.00000000,0.00000000,de,1.90000000,,2661324,P,47.14035000,7.37175000,EUROPE,Switzerland,WCE
Rutschpartien,Rutschpartien,LOC,-0.15789474,0.00000000,de,1.90000000,,0,,,,,,
Notunterkünfte,Notunterkünfte,LOC,-0.92105263,0.00000000,de,1.90000000,,0,,,,,,
Alten Donau,Alten Donau,LOC,0.00000000,0.52631579,de,1.90000000,,0,,,,,,
Sturmtief Elli,Sturmtief Elli,LOC,0.69298246,0.17543860,de,1.90000000,,0,,,,,,
Landkreis Grafschaft Bentheim,Landkreis Grafschaft Bentheim,LOC,0.00000000,0.00000000,de,1.90000000,4071981-9,2953552,P,52.30066000,7.15763000,EUROPE,Germany,WCE
Arbeitsplatz,Arbeitsplatz,LOC,1.26315789,0.00000000,de,1.90000000,,0,,,,,,
Tiroler Brennerautobahn,Tiroler Brennerautobahn,LOC,-1.05263158,0.00000000,de,1.90000000,,0,,,,,,
A13,A13,LOC,-1.05263158,0.00000000,de,1.90000000,,1677884,P,25.03620000,121.62347000,ASIA,Taiwan,EAS
